kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
ALGIS    ČAPLIKAS,15863.00,9860.0,102890.0,0.0,38295.0,10362.0,107826.78
EDGARAS    ŽILIONIS,248.00,0.0,0.0,0.0,0.0,0.0,7290.04
GENĖ    PUŽIENĖ,0.00,0.0,77000.0,0.0,0.0,0.0,0.00
ROMUALDAS    DANIELIS,3285.00,0.0,0.0,0.0,0.0,0.0,25724.26
GRAŽINA    MONCEVIČIENĖ,1544.00,0.0,80000.0,0.0,0.0,0.0,21507.81
RITA    ANDRIUŠIENĖ,4725.00,0.0,85600.0,0.0,0.0,0.0,32547.44
MARIUS    TAŠKEVIČIUS,814.00,0.0,54001.0,0.0,0.0,0.0,5429.03
DAIVA    RAUSCH,1795.00,0.0,12000.0,0.0,0.0,0.0,16274.09
ARTŪRAS    ALEKNA,5548.00,39793.0,1000.0,0.0,0.0,0.0,38784.27
JADVYGA    ZUPKIENĖ,0.00,78602.0,32500.0,0.0,0.0,0.0,0.00
ROMUALDAS    VARANAUSKAS,2969.00,0.0,20000.0,0.0,15466.0,0.0,24243.40
NEDAS    KEREVIČIUS,4317.00,0.0,0.0,0.0,0.0,0.0,34164.06
GRAŽINA    OLEKAITĖ,3626.00,0.0,0.0,0.0,16000.0,0.0,26447.05
LAIMUTIS    RAKAS,2518.00,0.0,2300.0,0.0,0.0,0.0,20288.81
KRISTINA    ŠUKIENĖ,6738.00,317398.0,152500.0,0.0,31025.0,0.0,60317.96
ROLANDAS    JANAVIČIUS,2014.00,0.0,16500.0,0.0,20000.0,0.0,17486.75
JŪRATĖ    NAUČIENĖ,0.00,0.0,30000.0,0.0,0.0,0.0,4981.35
NERINGA    PETRULIENĖ,1168.00,0.0,8000.0,0.0,0.0,0.0,13286.87
VIOLETA    KURINSKIENĖ,3390.00,0.0,122000.0,0.0,70000.0,0.0,25134.40
GIEDRIUS    JARAŠIŪNAS,0.00,0.0,1000.0,0.0,0.0,0.0,0.00
ENRIKA    SKUJAITĖ,3234.00,0.0,100000.0,0.0,0.0,0.0,25264.37
KRISTINA    ŽIEMYTĖ,3420.00,80000.0,104400.0,115000.0,20000.0,10000.0,26598.97
RAIMUNDA    MURAUSKIENĖ,3076.00,0.0,355000.0,0.0,80000.0,1820.0,23158.29
ANDRIUS    KASPARAVIČIUS,32795.00,0.0,19677.0,0.0,42436.0,0.0,218633.50
ANTANAS    PAULIUKAS,0.00,0.0,116000.0,0.0,0.0,0.0,8068.00
VIRGINIJA    ANDRIJEVSKIENĖ,0.00,393815.0,370000.0,0.0,32000.0,800000.0,4820.82
RIMANTAS    ŽILIONIS,7577.00,121000.0,279200.0,35000.0,17000.0,0.0,51264.01
REDAS    KIMANTAS,0.00,0.0,39416.0,0.0,189381.0,0.0,46563.32
GEDIMINAS    NAUČIUS,0.00,0.0,53000.0,75000.0,120000.0,80000.0,44306.00
JUOZAS    MURAUSKAS,2518.00,0.0,135510.0,0.0,80000.0,0.0,20288.73
DARIUS    MASKOLIŪNAS,32387.00,600000.0,1052000.0,0.0,202000.0,76900.0,221524.38
ANDREJUS    ZADNEPROVSKIS,848.00,510750.0,770000.0,0.0,260000.0,0.0,13081.95
MINDAUGAS    MIZGAITIS,797.00,270412.0,312000.0,0.0,0.0,0.0,12706.59
ZENOBIJA    ŽEPNICKIENĖ,8289.00,0.0,799239.0,0.0,72271.0,20000.0,55261.44
STASYS    ŽIRGULIS,1252.00,0.0,150122.0,0.0,263292.0,0.0,75264.74
JUOZAS    ANTANAITIS,11242.00,0.0,65000.0,0.0,0.0,0.0,74944.63
DAINA    URBANAVIČIENĖ,11259.00,0.0,175054.0,0.0,23915.0,0.0,76862.44
INDRĖ    JAKAITYTĖ,3312.00,9621.0,209153.0,0.0,11664.0,0.0,44349.53
ALGIMANTAS    VAKARINAS,9887.00,0.0,436682.0,0.0,81563.0,122100.0,70614.79
KĘSTUTIS    NĖNIUS,25020.00,0.0,706981.0,0.0,213064.0,1014904.0,300783.88
VIRGINIJUS    DASTIKAS,10810.00,26422.0,441617.0,0.0,78973.0,0.0,78817.54
VALDAS    KLIMANTAVIČIUS,25623.00,53100.0,285550.0,400000.0,161783.0,24630.0,172448.11
ALGIMANTAS    ŠVENTICKAS,11679.00,0.0,15000.0,0.0,140000.0,0.0,77863.08
ERNESTA    ARLAUSKAITĖ,6394.00,210000.0,124000.0,0.0,9000.0,0.0,47661.72
ALMUTĖ    JUZĖNIENĖ,6356.00,0.0,258694.0,0.0,6000.0,0.0,44205.72
